"No.","Time","Source","Destination","Protocol","Length","Info"
"37","0.716611","192.168.137.23","23.200.147.21","HTTP","303","GET /livearea/e/info/np/PCSE00097/44f3d85d1acbfe30e2416919aad5d0cd672e2c736818e7225057dfc1153654b0/PCSE00097-0.pkg?country=US HTTP/1.1 "
"42","0.748829","23.200.147.21","192.168.137.23","HTTP","456","HTTP/1.1 404 Not Found  (text/html)"
"178","47.056213","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/storage/NPWR03875_00-storage.xml HTTP/1.1 "
"180","47.170227","23.193.40.234","192.168.137.23","HTTP/XML","585","HTTP/1.1 200 OK "
"272","49.448543","192.168.137.23","23.193.40.234","HTTP","271","GET /np/resource/psp2-title/NPWR03875_00/matching/NPWR03875_00-matching.xml HTTP/1.1 "
"274","49.637189","23.193.40.234","192.168.137.23","HTTP/XML","616","HTTP/1.1 200 OK "
"7873","155.785844","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/storage/NPWR03875_00-storage.xml HTTP/1.1 "
"7894","155.889167","23.193.40.234","192.168.137.23","HTTP/XML","585","HTTP/1.1 200 OK "
"19731","221.954018","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/storage/NPWR03875_00-storage.xml HTTP/1.1 "
"19765","222.158351","23.193.40.234","192.168.137.23","HTTP/XML","585","HTTP/1.1 200 OK "
"46043","332.102148","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/storage/NPWR03875_00-storage.xml HTTP/1.1 "
"46074","332.209031","23.193.40.234","192.168.137.23","HTTP/XML","585","HTTP/1.1 200 OK "
"106963","556.181894","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/ranking/NPWR03875_00-ranking.xml HTTP/1.1 "
"106967","556.189804","192.168.137.23","23.193.40.234","HTTP","290","GET /np/resource/psp2-title/NPWR03875_00/storage/NPWR03875_00-storage.xml HTTP/1.1 "
"107033","556.392668","23.193.40.234","192.168.137.23","HTTP/XML","658","HTTP/1.1 200 OK "
"107040","556.411821","23.193.40.234","192.168.137.23","HTTP/XML","585","HTTP/1.1 200 OK "
